,0
mean radius,-0.745217066536283
mean texture,-0.4191226458624752
mean perimeter,-0.7590057052299424
mean area,-0.7527857470528989
mean smoothness,-0.3669307100201796
mean compactness,-0.6084943441178476
mean concavity,-0.7271682646342097
mean concave points,-0.7880986485779071
mean symmetry,-0.33453610257918415
mean fractal dimension,0.006801301587631495
radius error,-0.6423985740806145
texture error,0.00015246656946202802
perimeter error,-0.6468747254434492
area error,-0.7390677786056528
smoothness error,0.07779593880873406
compactness error,-0.3318370755315341
concavity error,-0.3981198470065146
concave points error,-0.4501332795979568
symmetry error,0.06960576287757572
fractal dimension error,-0.15406136872175183
worst radius,-0.7939377223175477
worst texture,-0.4576627315418547
worst perimeter,-0.8006178254437077
worst area,-0.7946401139817161
worst smoothness,-0.4233899316768753
worst compactness,-0.6110828827661431
worst concavity,-0.6835654082299152
worst concave points,-0.7935660171412686
worst symmetry,-0.41905786660616345
worst fractal dimension,-0.32871936588216827
